rater_id,case_id,case_type,user_text,mode,detected_emotion,system_response,empathy_rating,social_presence_rating,trust_rating,helpfulness_rating,notes
,1,Congruent,I am thrilled with the result and genuinely happy.,Text only,happy,I am happy with the result.,,,,,
,1,Congruent,I am thrilled with the result and genuinely happy.,Face only,happy,I am happy with the result.,,,,,
,1,Congruent,I am thrilled with the result and genuinely happy.,Fused,happy,I am thrilled with the result and genuinely happy.,,,,,
,2,Congruent,I feel sad and drained after losing the opportunity.,Text only,sad,I feel sad and drained after losing the opportunity.,,,,,
,2,Congruent,I feel sad and drained after losing the opportunity.,Face only,sad,I feel sad and drained after losing the opportunity.,,,,,
,2,Congruent,I feel sad and drained after losing the opportunity.,Fused,sad,I feel sad and drained after losing the opportunity.,,,,,
,3,Congruent,I am frustrated that the system keeps crashing.,Text only,angry,I am frustrated that the system keeps crashing.,,,,,
,3,Congruent,I am frustrated that the system keeps crashing.,Face only,angry,I am frustrated that the system keeps crashing.,,,,,
,3,Congruent,I am frustrated that the system keeps crashing.,Fused,angry,I am frustrated that the system keeps crashing.,,,,,
,4,Congruent,I am nervous about the interview tomorrow.,Text only,fear,I am nervous about the interview tomorrow.,,,,,
,4,Congruent,I am nervous about the interview tomorrow.,Face only,fear,I am nervous about the interview tomorrow.,,,,,
,4,Congruent,I am nervous about the interview tomorrow.,Fused,fear,I am nervous about the interview tomorrow.,,,,,
,5,Congruent,"Wow, I did not expect that announcement at all.",Text only,surprise,I was surprised by the news.,,,,,
,5,Congruent,"Wow, I did not expect that announcement at all.",Face only,surprise,I was surprised by the news.,,,,,
,5,Congruent,"Wow, I did not expect that announcement at all.",Fused,surprise,I was surprised by the news.,,,,,
,6,Dissonant,"I am thrilled with the result, even though the atmosphere around me feels gloomy.",Text only,happy,"I am thrilled with the result, even though the atmosphere around me feels gloomy.",,,,,
,6,Dissonant,"I am thrilled with the result, even though the atmosphere around me feels gloomy.",Face only,sad,I am happy with the result.,,,,,
,6,Dissonant,"I am thrilled with the result, even though the atmosphere around me feels gloomy.",Fused,happy,I am happy with the result.,,,,,
,7,Dissonant,"I feel sad and drained after losing the opportunity, even though the people around me seem upbeat.",Text only,sad,I feel sad and drained after losing the opportunity.,,,,,
,7,Dissonant,"I feel sad and drained after losing the opportunity, even though the people around me seem upbeat.",Face only,happy,I feel sad and drained after losing the opportunity.,,,,,
,7,Dissonant,"I feel sad and drained after losing the opportunity, even though the people around me seem upbeat.",Fused,sad,I feel sad and drained after losing the opportunity.,,,,,
,8,Dissonant,"I am frustrated about the delay, even though everything around me feels calm.",Text only,angry,I am frustrated about the delay.,,,,,
,8,Dissonant,"I am frustrated about the delay, even though everything around me feels calm.",Face only,neutral,I am frustrated about the delay.,,,,,
,8,Dissonant,"I am frustrated about the delay, even though everything around me feels calm.",Fused,neutral,I am frustrated about the delay.,,,,,
,9,Ambiguous,"I am okay, just checking in and moving through the day.",Text only,happy,"I am okay, just checking in and moving through the day.",,,,,
,9,Ambiguous,"I am okay, just checking in and moving through the day.",Face only,neutral,"I am okay, just checking in and moving through the day.",,,,,
,9,Ambiguous,"I am okay, just checking in and moving through the day.",Fused,neutral,I'm okay.,,,,,
,10,Ambiguous,"Part of me feels hopeful, part of me feels tired.",Text only,happy,I feel hopeful.,,,,,
,10,Ambiguous,"Part of me feels hopeful, part of me feels tired.",Face only,neutral,"I feel hopeful, but I feel tired.",,,,,
,10,Ambiguous,"Part of me feels hopeful, part of me feels tired.",Fused,neutral,I feel hopeful.,,,,,
